sub_ID,Q6.consent,Q8.covid_info,Q9.covid_knowledge,Q10.rank_attention_to_news,Q13.trust_doctor_news,Q13.trust_hospital_news,Q13.trust_cdc_news,Q13.trust_government_news,Q13.trust_none_of_above,Q14.confidence_us_government,Q16.Belief_scientists_understand_covid,Q17.concerned_outbreak,Q18.likely_to_catch_covid,Q20.ability_to_protect_self,Q21.expected_symptom_severity,Q101.confidence_in_authority,Q23.risk_exaggerated,Q27.wearing_mask,Q35.take_vaccine?,Q40.age,Q41.gender,Q74.education,Q84.community,Q43.health(1.5),Q39.flu.vaccine,Q44.contact_covid,Q85.pre.exisiting_conditions,Q92.friends/family_preexisiting_conditions
274,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,3,6,A moderate amount,56,70,4,55,somewhat disagree,everyone,definitely,18-19,nb,some college,ruralArea,2,TRUE,no,yes,yes
275,1,A lot,A lot,9,FALSE,FALSE,TRUE,FALSE,,5,7,NA,49,71,3,50,NA,sick people,definitely,55-59,f,doctorate,small city/town,3,TRUE,no,yes,yes
276,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,7,7,NA,50,90,6,28,strongly disagree,sick people,unsure,20-24,f,highschool graduate,large city,3,FALSE,no,no,yes
277,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,1,A lot,A moderate amount,4,FALSE,FALSE,TRUE,FALSE,,2,8,A lot,8,92,3,71,somewhat disagree,everyone,definitely,20-24,f,highschool graduate,suburb,4,TRUE,unsure,no,no
279,1,A lot,A little,6,FALSE,FALSE,TRUE,FALSE,,3,6,NA,48,86,3,60,NA,sick people,probably,18-19,f,highschool graduate,suburb,4,TRUE,no,no,yes
280,1,A lot,A moderate amount,9,FALSE,FALSE,FALSE,FALSE,,4,7,A moderate amount,82,51,3,51,strongly disagree,sick people,probably,20-24,m,some college,large city,3,FALSE,unsure,unsure,yes
281,1,A lot,A moderate amount,9,TRUE,FALSE,TRUE,FALSE,,0,7,A little,52,84,3,83,somewhat disagree,sick people,definitely,40-44,f,doctorate,suburb,4,TRUE,no,no,no
282,1,A moderate amount,A little,5,FALSE,TRUE,FALSE,FALSE,,3,0,A moderate amount,10,80,3,70,NA,sick people,probably,30-34,f,4 year degree,suburb,4,FALSE,no,no,yes
283,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,5,8,A moderate amount,51,70,4,50,somewhat disagree,sick people,definitely,40-44,f,doctorate,small city/town,4,FALSE,no,no,yes
284,1,A moderate amount,A little,8,FALSE,FALSE,TRUE,FALSE,,5,3,A moderate amount,20,72,3,50,NA,everyone,probably,35-39,f,professional degree,suburb,4,FALSE,no,no,no
285,1,A lot,A moderate amount,6,TRUE,TRUE,TRUE,TRUE,,5,8,A little,10,90,2,40,NA,sick people,unsure,18-19,f,2 year degree,suburb,4,FALSE,yes,no,no
286,1,A lot,A lot,1,FALSE,FALSE,TRUE,FALSE,,7,7,A moderate amount,20,100,2,80,NA,sick people,definitely,20-24,f,some college,ruralArea,5,FALSE,no,no,yes
287,1,A lot,A little,4,FALSE,FALSE,TRUE,FALSE,,4,4,A lot,61,61,2,61,NA,everyone,probably,25-29,f,professional degree,small city/town,4,TRUE,no,no,yes
288,1,A lot,A little,8,FALSE,FALSE,TRUE,FALSE,,7,6,A moderate amount,61,81,2,30,strongly disagree,sick people,definitely,20-24,f,4 year degree,small city/town,3,TRUE,no,no,unsure
289,1,A moderate amount,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,3,5,A moderate amount,78,80,2,52,NA,sick people,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,1,A moderate amount,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,,3,8,A lot,28,72,4,59,NA,sick people,definitely,20-24,NA,2 year degree,suburb,4,TRUE,no,no,unsure
291,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,2,8,A lot,80,100,3,66,strongly disagree,sick people,definitely,20-24,m,2 year degree,suburb,2,FALSE,no,yes,yes
292,1,A moderate amount,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,8,5,A moderate amount,63,83,3,61,somewhat disagree,sick people,probably,60-64,f,some college,suburb,3,TRUE,no,yes,yes
293,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,TRUE,,4,1,A moderate amount,9,71,2,2,NA,sick people,unsure,20-24,f,4 year degree,ruralArea,3,FALSE,no,no,no
294,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,1,4,A little,91,50,2,2,somewhat disagree,sick people,definitely,45-49,f,doctorate,suburb,5,TRUE,unsure,no,yes
295,1,A little,A little,3,FALSE,FALSE,FALSE,FALSE,,4,8,A lot,50,50,3,60,NA,sick people,probably,18-19,f,highschool graduate,large city,3,FALSE,no,no,no
296,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,5,5,NotAtAll,22,63,3,35,strongly disagree,sick people,definitely,35-39,f,professional degree,suburb,5,TRUE,no,no,yes
297,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,4,7,A moderate amount,9,72,3,13,NA,healthy people,definitely,25-29,f,some college,small city/town,2,FALSE,no,yes,unsure
298,1,A moderate amount,A little,7,FALSE,FALSE,FALSE,FALSE,,4,6,A little,50,70,3,40,somewhat disagree,everyone,definitely,25-29,m,4 year degree,suburb,3,FALSE,unsure,yes,yes
299,1,A lot,A moderate amount,5,FALSE,FALSE,TRUE,TRUE,,7,7,NA,15,90,1,85,NA,sick people,definitely,18-19,m,some college,small city/town,4,TRUE,no,no,no
300,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,3,7,A lot,71,91,2,10,strongly disagree,everyone,definitely,18-19,f,some college,suburb,3,TRUE,no,no,no
301,1,A moderate amount,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,6,7,A moderate amount,80,55,3,60,strongly disagree,sick people,probably,60-64,f,some college,small city/town,2,FALSE,no,yes,yes
302,1,A lot,A little,5,TRUE,TRUE,TRUE,FALSE,,3,5,A moderate amount,51,73,3,42,somewhat disagree,sick people,definitely,25-29,f,professional degree,small city/town,4,FALSE,no,no,unsure
303,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,0,3,A moderate amount,90,35,3,20,somewhat disagree,sick people,unsure,20-24,f,4 year degree,ruralArea,3,Unsure,yes,no,unsure
304,1,A moderate amount,A moderate amount,6,TRUE,TRUE,TRUE,FALSE,Sister (nurse),8,6,A lot,70,40,3,70,somewhat disagree,sick people,definitely,35-39,m,4 year degree,suburb,3,TRUE,no,no,yes
305,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,5,4,A lot,70,70,4,70,somewhat disagree,sick people,definitely,70-74,m,doctorate,small city/town,3,TRUE,no,yes,yes
306,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,0,3,A moderate amount,71,63,3,22,strongly disagree,sick people,definitely,40-44,f,doctorate,large city,3,TRUE,no,no,no
307,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,1,9,A moderate amount,100,80,2,80,somewhat disagree,sick people,definitely,20-24,m,highschool graduate,suburb,3,TRUE,unsure,no,no
308,1,A moderate amount,A moderate amount,7,TRUE,FALSE,FALSE,FALSE,,3,7,A lot,80,64,2,27,strongly disagree,sick people,definitely,45-49,nb,doctorate,large city,4,TRUE,no,no,yes
309,1,A lot,A little,9,FALSE,FALSE,TRUE,FALSE,,9,5,NA,28,80,3,71,NA,sick people,probably,50-54,f,4 year degree,large city,4,FALSE,no,no,no
310,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,3,5,A moderate amount,63,59,4,34,strongly disagree,everyone,definitely,55-59,m,doctorate,suburb,4,TRUE,unsure,no,yes
313,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,6,7,NA,30,91,2,51,NA,sick people,probably,35-39,f,professional degree,large city,5,TRUE,no,no,no
314,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,,3,7,A little,51,72,2,10,strongly disagree,sick people,definitely,40-44,f,doctorate,large city,4,TRUE,no,no,yes
316,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,7,10,NA,40,81,3,70,NA,sick people,unsure,45-49,f,professional degree,large city,4,FALSE,no,no,no
317,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,3,8,A moderate amount,50,60,3,50,somewhat disagree,sick people,probably,45-49,f,doctorate,suburb,3,FALSE,unsure,yes,yes
319,1,A lot,A moderate amount,8,TRUE,FALSE,TRUE,TRUE,,8,8,A lot,72,86,3,78,NA,sick people,probably,60-64,m,highschool graduate,large city,3,TRUE,no,no,unsure
320,1,A moderate amount,A little,4,FALSE,FALSE,FALSE,FALSE,My child’s oncologist,3,6,A moderate amount,40,95,2,60,NA,sick people,probably,40-44,f,some college,large city,5,TRUE,no,no,yes
321,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,7,7,A moderate amount,75,95,2,39,NA,sick people,definitely,35-39,f,4 year degree,large city,4,TRUE,no,no,no
322,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,2,5,A moderate amount,50,80,3,20,somewhat disagree,sick people,probably,40-44,f,some college,suburb,4,FALSE,no,no,yes
323,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,5,8,A lot,31,79,2,72,strongly disagree,sick people,probably,50-54,f,doctorate,suburb,4,TRUE,no,no,yes
324,1,A lot,A moderate amount,9,FALSE,FALSE,FALSE,FALSE,,0,5,A little,50,70,2,0,strongly disagree,everyone,definitely,40-44,f,doctorate,large city,3,FALSE,no,no,yes
325,1,A moderate amount,A little,6,TRUE,TRUE,TRUE,FALSE,,0,5,NA,40,100,2,40,NA,sick people,definitely,35-39,f,4 year degree,suburb,4,TRUE,no,no,no
326,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,1,A lot,A little,9,FALSE,FALSE,FALSE,FALSE,,6,4,A little,48,50,4,24,somewhat disagree,sick people,unsure,40-44,f,some college,ruralArea,3,FALSE,no,no,yes
328,1,A lot,A little,7,FALSE,FALSE,TRUE,FALSE,,8,6,A lot,50,79,3,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,1,A lot,A lot,9,FALSE,FALSE,TRUE,FALSE,,8,8,A moderate amount,40,52,3,70,NA,sick people,probably,40-44,f,professional degree,suburb,4,TRUE,unsure,no,unsure
330,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,5,6,A little,20,43,3,12,somewhat disagree,sick people,definitely,40-44,f,2 year degree,suburb,5,TRUE,no,no,no
331,1,A moderate amount,A moderate amount,6,TRUE,FALSE,TRUE,FALSE,,1,5,A moderate amount,28,38,2,28,NA,sick people,probably,35-39,f,some college,suburb,3,FALSE,no,no,no
332,1,A lot,A moderate amount,6,FALSE,FALSE,TRUE,TRUE,,8,6,A little,20,69,3,53,strongly disagree,sick people,definitely,18-19,f,some college,large city,3,FALSE,no,no,yes
333,1,A lot,A lot,8,FALSE,FALSE,FALSE,TRUE,,7,5,A moderate amount,60,42,3,42,NA,sick people,probably,70-74,m,professional degree,ruralArea,3,TRUE,no,yes,yes
334,1,A moderate amount,A moderate amount,7,FALSE,TRUE,TRUE,TRUE,,1,9,NA,10,80,2,50,strongly disagree,sick people,definitely,20-24,f,4 year degree,small city/town,4,TRUE,no,no,no
335,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,1,A lot,A lot,8,FALSE,FALSE,TRUE,FALSE,,2,8,A little,10,40,2,50,NA,sick people,definitely,40-44,m,doctorate,large city,2,TRUE,no,no,no
337,1,A moderate amount,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,1,1,NA,0,100,2,20,stronglyAgree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,0,7,A lot,11,31,2,68,strongly disagree,sick people,definitely,30-34,f,4 year degree,suburb,3,TRUE,no,no,unsure
341,1,A lot,A lot,10,FALSE,FALSE,FALSE,FALSE,Research scientists working on this,8,10,A lot,84,83,3,72,NA,sick people,definitely,55-59,f,doctorate,small city/town,3,TRUE,no,no,yes
342,1,A moderate amount,A little,5,TRUE,FALSE,FALSE,FALSE,,2,6,A moderate amount,89,49,4,52,NA,everyone,unsure,20-24,f,some college,suburb,1,TRUE,no,yes,no
343,1,A lot,A moderate amount,6,FALSE,FALSE,FALSE,FALSE,,0,5,A little,20,70,3,15,NA,everyone,probably,20-24,f,4 year degree,suburb,3,TRUE,no,no,no
344,1,A moderate amount,A little,5,FALSE,FALSE,TRUE,TRUE,,3,2,A moderate amount,5,52,2,10,NA,sick people,probably,18-19,f,2 year degree,small city/town,4,FALSE,unsure,no,yes
345,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,3,8,A little,30,90,3,70,somewhat disagree,no one/no mask evidence,probably,50-54,f,4 year degree,suburb,5,FALSE,no,no,yes
346,1,A moderate amount,A moderate amount,2,FALSE,FALSE,FALSE,FALSE,,0,3,NotAtAll,10,2,3,2,NA,everyone,probably,20-24,m,2 year degree,small city/town,3,FALSE,no,no,no
347,1,A lot,A little,5,FALSE,FALSE,FALSE,FALSE,,5,5,A moderate amount,5,80,2,70,stronglyAgree,no one/no mask evidence,probably,40-44,f,professional degree,suburb,5,FALSE,no,no,no
348,1,A lot,A moderate amount,9,FALSE,FALSE,TRUE,FALSE,,1,7,A little,61,74,3,25,strongly disagree,sick people,definitely,50-54,f,some college,suburb,3,TRUE,no,yes,yes
349,1,A lot,A lot,8,TRUE,FALSE,TRUE,FALSE,,5,7,NA,40,81,3,NA,stronglyAgree,sick people,probably,55-59,f,professional degree,ruralArea,3,TRUE,no,yes,yes
350,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,9,5,NA,80,58,4,51,strongly disagree,sick people,definitely,35-39,f,professional degree,small city/town,5,TRUE,no,yes,yes
351,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,1,A lot,A little,5,FALSE,FALSE,TRUE,FALSE,,10,8,NA,20,80,4,40,NA,sick people,unsure,35-39,f,highschool graduate,suburb,4,FALSE,no,no,yes
353,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,1,A lot,A lot,8,FALSE,FALSE,TRUE,FALSE,,3,4,NA,20,10,2,0,stronglyAgree,sick people,probably_not,40-44,m,some college,suburb,3,TRUE,unsure,no,yes
355,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,1,A lot,A lot,8,FALSE,FALSE,TRUE,FALSE,,8,8,A little,3,80,3,50,strongly disagree,sick people,definitely,45-49,m,doctorate,large city,4,TRUE,no,no,no
357,1,A lot,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,1,7,A lot,83,81,2,70,somewhat disagree,sick people,definitely,35-39,f,4 year degree,small city/town,5,FALSE,no,no,no
358,1,A lot,A moderate amount,7,FALSE,FALSE,FALSE,FALSE,,1,5,A moderate amount,40,70,3,7,strongly disagree,sick people,definitely,30-34,f,doctorate,small city/town,3,TRUE,no,no,yes
359,1,A lot,A little,7,FALSE,FALSE,TRUE,FALSE,,6,8,A moderate amount,0,98,2,75,NA,sick people,unsure,20-24,nb,some college,suburb,3,FALSE,no,no,no
360,1,A lot,A little,7,FALSE,FALSE,TRUE,FALSE,,7,8,NA,20,80,5,70,strongly disagree,no one/no mask evidence,definitely,25-29,m,2 year degree,large city,3,TRUE,no,unsure,unsure
361,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,0,8,A moderate amount,90,30,3,20,strongly disagree,sick people,definitely,45-49,f,2 year degree,suburb,4,TRUE,unsure,no,yes
362,1,A little,A little,2,TRUE,FALSE,FALSE,FALSE,,0,5,A lot,50,100,4,2,stronglyAgree,sick people,definitely not,20-24,f,some college,large city,3,FALSE,unsure,no,yes
363,1,A lot,A lot,8,FALSE,FALSE,TRUE,FALSE,,8,8,A moderate amount,49,79,3,50,strongly disagree,sick people,NA,45-49,m,doctorate,large city,4,TRUE,no,no,no
364,1,A little,A moderate amount,3,FALSE,FALSE,TRUE,FALSE,,4,3,A moderate amount,100,62,2,34,somewhat disagree,everyone,probably,20-24,m,some college,suburb,3,TRUE,yes,no,yes
365,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,3,5,A little,60,51,3,29,somewhat disagree,sick people,definitely,25-29,f,4 year degree,small city/town,3,TRUE,no,no,no
366,1,A moderate amount,A little,2,FALSE,FALSE,TRUE,FALSE,,1,3,NA,41,62,3,71,somewhat disagree,everyone,probably,20-24,f,some college,suburb,3,FALSE,no,no,no
367,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,1,A lot,A moderate amount,8,TRUE,FALSE,TRUE,FALSE,,3,9,A moderate amount,67,90,3,31,somewhat disagree,sick people,definitely,50-54,f,doctorate,suburb,4,TRUE,no,no,yes
369,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,4,6,A moderate amount,49,85,2,50,somewhat disagree,sick people,definitely,40-44,f,professional degree,suburb,4,FALSE,no,no,yes
370,1,A moderate amount,A little,3,FALSE,FALSE,TRUE,FALSE,,0,7,A moderate amount,40,40,3,20,NA,sick people,definitely,45-49,f,doctorate,small city/town,4,TRUE,unsure,no,yes
371,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,6,8,NA,30,100,2,20,somewhat disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,1,A moderate amount,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,1,A lot,A moderate amount,5,FALSE,FALSE,TRUE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,6,7,A moderate amount,69,90,4,29,somewhat disagree,sick people,definitely,70-74,f,2 year degree,ruralArea,4,TRUE,no,yes,yes
375,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,5,6,NA,20,80,3,60,somewhat disagree,everyone,definitely,25-29,f,4 year degree,large city,4,TRUE,unsure,no,yes
376,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,1,A moderate amount,A little,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,1,A lot,A moderate amount,8,TRUE,FALSE,FALSE,FALSE,,2,6,A little,40,89,3,29,NA,NA,unsure,45-49,f,some college,large city,2,FALSE,no,yes,yes
379,1,A lot,A moderate amount,5,FALSE,FALSE,FALSE,FALSE,,1,5,A lot,6,49,2,50,NA,no one/no mask evidence,definitely not,25-29,m,less than highschool,small city/town,4,FALSE,yes,no,no
380,1,A moderate amount,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,2,6,A little,47,85,2,8,strongly disagree,sick people,definitely,35-39,f,highschool graduate,suburb,3,FALSE,unsure,no,yes
381,1,A lot,A moderate amount,8,FALSE,FALSE,FALSE,FALSE,,4,7,A lot,60,67,3,42,NA,sick people,definitely,25-29,nb,4 year degree,small city/town,3,TRUE,no,no,yes
382,1,A lot,A lot,10,FALSE,FALSE,TRUE,FALSE,,3,6,NA,24,89,3,3,strongly disagree,sick people,probably,25-29,f,2 year degree,large city,3,FALSE,no,no,yes
383,1,A moderate amount,A little,6,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,1,A lot,A moderate amount,8,FALSE,FALSE,TRUE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,1,A little,A little,5,FALSE,FALSE,FALSE,FALSE,,NA,NA,A little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,1,A moderate amount,A little,6,FALSE,FALSE,TRUE,FALSE,,3,4,NA,3,89,2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,1,A lot,A little,10,FALSE,FALSE,TRUE,FALSE,,2,4,A lot,60,40,3,50,NA,everyone,definitely,20-24,f,some college,small city/town,2,Unsure,no,no,unsure
391,1,A lot,A moderate amount,9,FALSE,FALSE,FALSE,FALSE,,1,6,NA,31,54,2,6,somewhat disagree,sick people,definitely,20-24,f,4 year degree,suburb,3,TRUE,unsure,no,yes
392,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,1,A lot,A little,8,FALSE,FALSE,FALSE,FALSE,,6,6,NotAtAll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,1,A lot,A moderate amount,3,TRUE,FALSE,FALSE,FALSE,,5,4,A moderate amount,6,50,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,1,A lot,A lot,10,TRUE,FALSE,TRUE,FALSE,,10,10,NA,20,100,2,100,NA,sick people,unsure,30-34,f,2 year degree,small city/town,4,FALSE,no,no,yes
396,1,A lot,A moderate amount,10,FALSE,FALSE,TRUE,FALSE,,1,2,NA,6,82,5,16,NA,sick people,probably,20-24,f,some college,large city,3,FALSE,no,no,no
397,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,1,A moderate amount,A little,10,FALSE,FALSE,TRUE,TRUE,,6,7,A moderate amount,0,100,3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,1,A lot,A moderate amount,7,FALSE,FALSE,TRUE,FALSE,,0,7,NA,78,5,2,46,somewhat disagree,sick people,definitely,18-19,f,some college,suburb,4,TRUE,no,no,yes
400,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,1,A lot,A lot,8,FALSE,FALSE,TRUE,FALSE,,3,7,NA,61,72,4,50,somewhat disagree,sick people,probably,65-69,f,2 year degree,suburb,2,TRUE,no,yes,yes
402,1,A lot,A lot,10,FALSE,FALSE,TRUE,TRUE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,1,A lot,A moderate amount,10,TRUE,FALSE,TRUE,TRUE,,5,8,A little,10,89,2,69,NA,everyone,definitely,20-24,f,some college,suburb,3,FALSE,no,no,no
404,1,A lot,A lot,10,FALSE,TRUE,TRUE,TRUE,,3,5,NA,60,29,3,10,stronglyAgree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,1,A lot,A lot,7,FALSE,FALSE,FALSE,FALSE,,3,9,NA,26,93,2,34,somewhat disagree,sick people,definitely,30-34,f,4 year degree,suburb,4,TRUE,no,no,yes
407,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A moderate amount,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,1,A lot,A moderate amount,6,FALSE,FALSE,TRUE,TRUE,,1,5,NA,10,100,2,9,NA,sick people,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,1,A moderate amount,A moderate amount,6,FALSE,FALSE,TRUE,FALSE,,5,6,A lot,2,85,2,50,NA,everyone,probably,18-19,f,some college,ruralArea,4,FALSE,no,no,yes
411,1,A lot,A lot,9,FALSE,FALSE,TRUE,FALSE,,0,1,NA,38,45,4,7,strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,,NA,NA,A little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,1,A little,A little,5,FALSE,FALSE,TRUE,FALSE,,8,6,A moderate amount,10,60,3,60,NA,everyone,unsure,20-24,f,4 year degree,suburb,2,TRUE,no,no,unsure
414,1,A moderate amount,A moderate amount,6,TRUE,FALSE,TRUE,FALSE,,4,7,A moderate amount,40,100,4,38,NA,sick people,definitely,20-24,f,some college,small city/town,3,TRUE,no,unsure,unsure
